Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
174,4,Sep 17 2016,3:00 PM,Sat,Central Michigan,44,,Nevada-Las Vegas,21,ESPN3,Kelly/Shorts Stadium - Mount Pleasant Michigan
175,4,Sep 17 2016,12:00 PM,Sat,(5) Clemson,59,,South Carolina State,0,ESPN3,Clemson Memorial Stadium - Clemson South Carolina
176,4,Sep 17 2016,4:00 PM,Sat,Colorado State,47,,Northern Colorado,21,,Sonny Lubick Field at Hughes Stadium - Fort Collins Colorado
177,4,Sep 17 2016,1:30 PM,Sat,Connecticut,13,,Virginia,10,ESPN3,Rentschler Field - East Hartford Connecticut
178,4,Sep 17 2016,6:00 PM,Sat,Eastern Michigan,37,@,Charlotte,19,,Jerry Richardson Stadium - Charlotte North Carolina
179,4,Sep 17 2016,7:30 PM,Sat,(23) Florida,32,,North Texas,0,ESPNU,Ben Hill Griffin Stadium - Gainesville Florida
180,4,Sep 17 2016,7:30 PM,Sat,(16) Georgia,28,@,Missouri,27,SECN,Faurot Field - Columbia Missouri
181,4,Sep 17 2016,6:00 PM,Sat,Georgia Southern,23,,Louisiana-Monroe,21,ESPN3,Allen E. Paulson Stadium - Statesboro Georgia
182,4,Sep 17 2016,12:30 PM,Sat,Georgia Tech,38,,Vanderbilt,7,ESPN3,Bobby Dodd Stadium - Atlanta Georgia
183,4,Sep 17 2016,2:30 PM,Sat,Kansas State,63,,Florida Atlantic,7,,Bill Snyder Family Football Stadium - Manhattan Kansas
184,4,Sep 17 2016,3:30 PM,Sat,Kent State,27,,Monmouth,7,ESPN3,Dix Stadium - Kent Ohio
185,4,Sep 17 2016,4:00 PM,Sat,Kentucky,62,,New Mexico State,42,SECN,Commonwealth Stadium - Lexington Kentucky
186,4,Sep 17 2016,7:00 PM,Sat,(20) Louisiana State,23,,Mississippi State,20,ESPN,Tiger Stadium - Baton Rouge Louisiana
187,4,Sep 17 2016,7:00 PM,Sat,Louisiana-Lafayette,28,,South Alabama,23,ESPN3,Cajun Field - Lafayette Louisiana
188,4,Sep 17 2016,12:00 PM,Sat,(10) Louisville,63,,(2) Florida State,20,ABC,Papa John's Cardinal Stadium - Louisville Kentucky
189,4,Sep 17 2016,7:00 PM,Sat,Maryland,30,@,Central Florida,24,CBSSN,Bright House Networks Stadium - Orlando Florida
190,4,Sep 17 2016,3:30 PM,Sat,Massachusetts,21,,Florida International,13,ESPN3,Warren McGuirk Alumni Stadium - Amherst Massachusetts
191,4,Sep 17 2016,12:00 PM,Sat,Memphis,43,,Kansas,7,ESPNU,Liberty Bowl Memorial Stadium - Memphis Tennessee
192,4,Sep 17 2016,12:00 PM,Sat,(25) Miami (FL),45,@,Appalachian State,10,ESPN,Kidd Brewer Stadium - Boone North Carolina
193,4,Sep 17 2016,3:30 PM,Sat,(4) Michigan,45,,Colorado,28,BTN,Michigan Stadium - Ann Arbor Michigan
194,4,Sep 17 2016,7:30 PM,Sat,(12) Michigan State,36,@,(18) Notre Dame,28,NBC,Notre Dame Stadium - South Bend Indiana
195,4,Sep 17 2016,12:00 PM,Sat,Middle Tennessee State,41,@,Bowling Green State,21,ESPN3,Doyt L. Perry Stadium - Bowling Green Ohio
196,4,Sep 17 2016,7:00 PM,Sat,Navy,21,@,Tulane,14,ESPN3,Yulman Stadium - New Orleans Louisiana
197,4,Sep 17 2016,3:30 PM,Sat,Nebraska,35,,(22) Oregon,32,ABC,Memorial Stadium - Lincoln Nebraska
198,4,Sep 17 2016,9:00 PM,Sat,Nevada,38,,Buffalo,14,CAMP,MacKay Stadium - Reno Nevada
199,4,Sep 17 2016,3:30 PM,Sat,North Carolina,56,,James Madison,28,ESPN3,Kenan Memorial Stadium - Chapel Hill North Carolina
200,4,Sep 17 2016,6:00 PM,Sat,North Carolina State,49,,Old Dominion,22,,Carter Finley Stadium - Raleigh North Carolina
201,4,Sep 17 2016,12:00 PM,Sat,North Dakota State,23,@,(13) Iowa,21,ESPN,Kinnick Stadium - Iowa City Iowa
202,4,Sep 17 2016,8:00 PM,Sat,Northwestern,24,,Duke,13,BTN,Ryan Field - Evanston Illinois
